skill,count,date
python,301,2025-07-03
sql,291,2025-07-03
dataanalytics,163,2025-07-03
spark,152,2025-07-03
etl,137,2025-07-03
data engineering,133,2025-07-03
aws,129,2025-07-03
datamodeling,100,2025-07-03
azure,98,2025-07-03
snowflake,97,2025-07-03
datawarehouse,95,2025-07-03
tableau,93,2025-07-03
java,90,2025-07-03
machine learning,88,2025-07-03
visualization,87,2025-07-03
powerbi,86,2025-07-03
kafka,79,2025-07-03
scala,77,2025-07-03
databricks,65,2025-07-03
hadoop,63,2025-07-03
