skill,count,date
sql,320,2025-07-07
python,310,2025-07-07
dataanalytics,167,2025-07-07
etl,123,2025-07-07
aws,121,2025-07-07
data engineering,110,2025-07-07
datamodeling,107,2025-07-07
datawarehouse,103,2025-07-07
spark,101,2025-07-07
visualization,94,2025-07-07
snowflake,91,2025-07-07
powerbi,85,2025-07-07
tableau,85,2025-07-07
machine learning,84,2025-07-07
azure,78,2025-07-07
java,77,2025-07-07
kafka,71,2025-07-07
datapipeline,70,2025-07-07
r,69,2025-07-07
databricks,64,2025-07-07
