skill,count,date
sql,275,2025-07-10
python,255,2025-07-10
dataanalytics,147,2025-07-10
data engineering,112,2025-07-10
aws,102,2025-07-10
spark,98,2025-07-10
etl,97,2025-07-10
datamodeling,94,2025-07-10
tableau,86,2025-07-10
powerbi,86,2025-07-10
datawarehouse,86,2025-07-10
snowflake,76,2025-07-10
machine learning,75,2025-07-10
azure,74,2025-07-10
visualization,72,2025-07-10
java,67,2025-07-10
databricks,63,2025-07-10
kafka,61,2025-07-10
data science,59,2025-07-10
r,57,2025-07-10
