skill,count,date
sql,314,2025-07-08
python,279,2025-07-08
dataanalytics,189,2025-07-08
aws,129,2025-07-08
data engineering,129,2025-07-08
spark,125,2025-07-08
visualization,118,2025-07-08
powerbi,109,2025-07-08
etl,106,2025-07-08
datamodeling,99,2025-07-08
snowflake,97,2025-07-08
datawarehouse,94,2025-07-08
java,92,2025-07-08
tableau,83,2025-07-08
azure,82,2025-07-08
scala,74,2025-07-08
r,73,2025-07-08
kafka,68,2025-07-08
machine learning,68,2025-07-08
datapipeline,60,2025-07-08
