skill,count,date
sql,314,2025-07-05
python,270,2025-07-05
dataanalytics,175,2025-07-05
data engineering,150,2025-07-05
spark,129,2025-07-05
aws,125,2025-07-05
etl,107,2025-07-05
datamodeling,98,2025-07-05
powerbi,96,2025-07-05
visualization,93,2025-07-05
tableau,93,2025-07-05
datawarehouse,92,2025-07-05
java,88,2025-07-05
machine learning,87,2025-07-05
snowflake,79,2025-07-05
azure,73,2025-07-05
kafka,72,2025-07-05
data science,69,2025-07-05
scala,67,2025-07-05
datapipeline,66,2025-07-05
