skill,count,date
sql,304,2025-07-06
python,296,2025-07-06
spark,168,2025-07-06
dataanalytics,151,2025-07-06
data engineering,144,2025-07-06
etl,140,2025-07-06
snowflake,132,2025-07-06
aws,130,2025-07-06
kafka,111,2025-07-06
airflow,103,2025-07-06
java,96,2025-07-06
machine learning,94,2025-07-06
azure,93,2025-07-06
kubernetes,92,2025-07-06
datamodeling,90,2025-07-06
docker,90,2025-07-06
visualization,88,2025-07-06
datawarehouse,81,2025-07-06
data science,76,2025-07-06
powerbi,75,2025-07-06
