skill,count,date
python,307,2025-07-04
sql,298,2025-07-04
dataanalytics,165,2025-07-04
data engineering,142,2025-07-04
aws,127,2025-07-04
spark,124,2025-07-04
etl,117,2025-07-04
snowflake,107,2025-07-04
datawarehouse,105,2025-07-04
datamodeling,103,2025-07-04
java,93,2025-07-04
visualization,89,2025-07-04
powerbi,87,2025-07-04
tableau,86,2025-07-04
machine learning,81,2025-07-04
airflow,81,2025-07-04
kafka,81,2025-07-04
r,72,2025-07-04
datapipeline,66,2025-07-04
azure,64,2025-07-04
